Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	eed003b1-2dd5-4dd5-8091-6870a596b8b6	Annotation	root	root	Root object (Image)	Geometry	5136.4	3009.3	997	0	NaN	541	412	129	23.84	2.751	46892187.2	45001.2
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	6f63132e-5d0c-454a-85dd-4b7a54b483d9	Annotation	grey	grey	root	Geometry	5160.6	2883.7	8	0	997	541	412	129	23.84	3.012	42821606.1	97982.5
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	960e9804-d861-44ea-8f6d-492aaca3a905	Annotation	CB	CB	grey	Geometry	4983.6	4500.8	512	0	8	0	0	0	NaN	0	94545.7	3539.2
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	f351bfe1-96db-4107-9dfe-33a9356f385c	Annotation	CH	CH	grey	Geometry	5006.6	2430	567	0	8	0	0	0	NaN	0	20741826.7	34797.6
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	7ccd8762-a060-4365-8382-dec4228d7302	Annotation	CTX	CTX	CH	Geometry	5006.6	2430	688	0	567	0	0	0	NaN	0	20741826.7	34797.6
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	673b1a6c-271e-4efa-8d9f-9a18d2ecb7b8	Annotation	CTXpl	CTXpl	CTX	Geometry	5006.6	2430	695	0	688	0	0	0	NaN	0	20741826.7	34797.6
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	659550c1-950d-4b4a-a9c3-f75be0e1e95d	Annotation	Isocortex	Isocortex	CTXpl	Geometry	5177.8	1266.6	315	0	695	0	0	0	NaN	0	8472389.5	21875.9
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	7972d1d5-4d9d-4923-8e12-cf26d505a15b	Annotation	ECT	ECT	Isocortex	Geometry	-45.9602	2401.1	895	0	315	0	0	0	NaN	0	25212.8	785.83
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	72d0b65e-34c1-4d04-8564-6f7b38aaae03	Annotation	ECT1	ECT1	ECT	Geometry	-46.5721	2400.9	836	0	895	0	0	0	NaN	0	25075.8	772.54
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	fdd199ab-d936-457b-81fc-d03d30fce761	Annotation	ECT2/3	ECT2/3	ECT	Geometry	66.8	2449.1	427	0	895	0	0	0	NaN	0	137.11	48.24
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	30dc259e-8cb2-4946-8048-bca86732256c	Annotation	PERI	PERI	Isocortex	Geometry	46.2	2577.7	922	0	315	0	0	0	NaN	0	47535.3	1086.3
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	5eb84692-4f60-4a0a-974e-1ae827bfa7d0	Annotation	PERI1	PERI1	PERI	Geometry	13.78	2586.8	540	0	922	0	0	0	NaN	0	34155.6	810.33
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	42160a68-4490-4941-b582-6f0c026cd38f	Annotation	PERI2/3	PERI2/3	PERI	Geometry	128.53	2554.1	888	0	922	0	0	0	NaN	0	13379.4	643.07
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	262d5a96-db32-44b5-905f-28d02400fe0e	Annotation	VIS	VIS	Isocortex	Geometry	5117.9	1355.7	669	0	315	0	0	0	NaN	0	6765503.2	19642
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	e397e54d-9e00-4b23-8163-af9c176d1d5d	Annotation	VISpm	VISpm	VIS	Geometry	4244.6	175.12	533	0	669	0	0	0	NaN	0	5656.6	452.22
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	a38d7ba9-0b00-4b68-9e34-93d2a72770d2	Annotation	VISpm1	VISpm1	VISpm	Geometry	4275.7	169.84	805	0	533	0	0	0	NaN	0	5108.8	393.68
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	7b0a039b-5601-4192-947a-e862fe42e68b	Annotation	VISpm2/3	VISpm2/3	VISpm	Geometry	3954.8	224.54	41	0	533	0	0	0	NaN	0	547.91	103.96
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	066be97f-099e-4e37-b3a1-27e58d8f76ab	Annotation	VISli	VISli	VIS	Geometry	2371.7	1520.2	312782574	0	669	0	0	0	NaN	0	159436.4	2435.7
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 2.ome.tif	46be55a2-df7b-4b10-bac1-6f96bd77686a	Annotation	VISli2/3	VISli2/3	VISli	Geometry	1995.1	1513.6	312782582	0	312782574	0	0	0	NaN	0	69981.4	1505.3
