Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 6.ome.tif	42e2f551-7be8-4168-be72-ee68481e16f0	Annotation	root	root	Root object (Image)	Geometry	5347.1	2906.1	997	0	NaN	391	210	181	46.29	4.446	40707640.6	43962.3
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 6.ome.tif	6e05d528-fd0d-4cdc-9211-4349d350337e	Annotation	grey	grey	root	Geometry	5364	2814	8	0	997	386	210	176	45.6	4.768	36909333.3	88462.6
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 6.ome.tif	4fc5994d-8b73-418d-8492-12701a92e511	Annotation	CB	CB	grey	Geometry	6100.3	3354.2	512	0	8	0	0	0	NaN	0	2879599.6	14643.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 6.ome.tif	64307e74-46f7-42da-91a1-35b47da2253a	Annotation	CBX	CBX	CB	Geometry	6203.2	3347.2	528	0	512	0	0	0	NaN	0	2551207.4	12435.3
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 6.ome.tif	7b09aaac-e468-4842-a78f-9659ee536330	Annotation	HEM	HEM	CBX	Geometry	6402.2	3564.1	1073	0	528	0	0	0	NaN	0	1497752.5	9467.9
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 6.ome.tif	b81c3d22-2d6a-49cf-9164-352c815ddc23	Annotation	PFL	PFL	HEM	Geometry	8513.3	3736	1041	0	1073	0	0	0	NaN	0	14170.6	573.23
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 6.ome.tif	a6e2f902-6eed-4f32-8246-3e984a4839e2	Annotation	FL	FL	HEM	Geometry	5855.6	3913	1049	0	1073	0	0	0	NaN	0	1000348.7	5510.7
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 6.ome.tif	47369e27-3896-4c9a-80c7-ab752c10d1ec	Annotation	SIM	SIM	HEM	Geometry	7472	2836.7	1007	0	1073	0	0	0	NaN	0	483233.3	3873.4
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 6.ome.tif	dbd00475-30b2-42a8-a274-8995a713c53f	Annotation	VERM	VERM	CBX	Geometry	5920.3	3038.8	645	0	528	0	0	0	NaN	0	1053455	5610.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 6.ome.tif	b03cd69b-be9e-4d7e-ab15-95bac1dd1a99	Annotation	CUL	CUL	VERM	Geometry	5920.3	3038.8	928	0	645	0	0	0	NaN	0	1053455	5610.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 6.ome.tif	45af79ba-a1d0-45e5-b1d6-e0a817e9cb90	Annotation	CUL4, 5	CUL4, 5	CUL	Geometry	5920.3	3038.8	1091	0	928	0	0	0	NaN	0	1053455	5610.2
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 6.ome.tif	e602718d-4de6-4364-87ec-dc6248ae460e	Annotation	CH	CH	grey	Geometry	5109.4	1667.5	567	0	8	0	0	0	NaN	0	9701614.4	19938
JKBY4.2b_A4_Scan1.qptiff - resolution #1_Region 6.ome.tif	c3f4b61d-27ef-4b51-9638-b0435b57d652	Annotation	CTX	CTX	CH	Geometry	5109.4	1667.5	688	0	567	0	0	0	NaN	0	9701614.4	19938
