Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	ID	Side	Parent ID	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	97a2cf6f-07e4-45b5-8030-96438dd1a3aa	Annotation	root	root	Root object (Image)	Geometry	5574.8	2988	997	0	NaN	563	208	355	63.06	7.5	47333000	46404.7
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	79988921-76c0-42bb-b055-24f72a18fc8b	Annotation	grey	grey	root	Geometry	5588.6	2869.3	8	0	997	563	208	355	63.06	8.191	43341453.9	92629.7
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	e8e60919-e0ab-43f7-8e27-807538d95757	Annotation	CB	CB	grey	Geometry	5766.3	4422.9	512	0	8	0	0	0	NaN	0	115500.3	4243.5
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	077438d5-eca1-40f4-8ad4-734d0441033e	Annotation	CH	CH	grey	Geometry	5524.6	2289.9	567	0	8	0	0	0	NaN	0	19701129.3	30314.1
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	37278bb3-ef08-44d9-8531-fafc3044e0e1	Annotation	CTX	CTX	CH	Geometry	5524.6	2289.9	688	0	567	0	0	0	NaN	0	19701129.3	30314.1
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	450acc56-8e6c-4c4f-bf3c-afbe7f1bc86d	Annotation	CTXpl	CTXpl	CTX	Geometry	5524.6	2289.9	695	0	688	0	0	0	NaN	0	19701129.3	30314.1
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	fe09c25c-f1f8-42c7-99d6-fbf17133154b	Annotation	Isocortex	Isocortex	CTXpl	Geometry	5754.9	1104.6	315	0	695	0	0	0	NaN	0	7948486.5	20896
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	1595f8c7-06ea-47d5-b53c-71e8932ce670	Annotation	VIS	VIS	Isocortex	Geometry	5641	1177.6	669	0	315	0	0	0	NaN	0	6234170.5	20570.4
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	f91a63e7-c0fb-4eab-b8e6-8fe2bb15931a	Annotation	VISli	VISli	VIS	Geometry	1312	1288.4	312782574	0	669	0	0	0	NaN	0	19929.1	679.31
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	e213c73f-5caf-4b59-bef4-5ae4135349b3	Annotation	VISli2/3	VISli2/3	VISli	Geometry	1394.4	1311.8	312782582	0	312782574	0	0	0	NaN	0	1626	190.83
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	223e1fd1-0c16-41e7-b24a-3559e6f76b50	Annotation	VISli1	VISli1	VISli	Geometry	1304.7	1286.3	312782578	0	312782574	0	0	0	NaN	0	18303.1	633.91
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	6b5e0203-8530-41d5-a275-af9ed69a675e	Annotation	VISpor	VISpor	VIS	Geometry	4825.3	1957.7	312782628	0	669	0	0	0	NaN	0	1482173	7690.4
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	cb4d062f-1eec-4e98-bf92-95b62c3b7fa0	Annotation	VISpor2/3	VISpor2/3	VISpor	Geometry	5246.2	1956.2	312782636	0	312782628	0	0	0	NaN	0	594231.9	5973.7
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	bb719014-6854-4005-870a-faf38af10c70	Annotation	VISpor1	VISpor1	VISpor	Geometry	5520	1987.7	312782632	0	312782628	0	0	0	NaN	0	374295.8	6214.8
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	cd288258-c4bf-4aa3-a4db-53c093f9bbe1	Annotation	VISpor5	VISpor5	VISpor	Geometry	4122.7	1970.8	312782644	0	312782628	0	0	0	NaN	0	457354.5	4487
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	8bd05767-6edb-4068-be37-51abc4313fb0	Annotation	VISpor4	VISpor4	VISpor	Geometry	1420.8	1560.5	312782640	0	312782628	0	0	0	NaN	0	39912.8	1223.2
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	24f6afeb-aef5-44dd-8cb4-3944a8db1478	Annotation	VISpor6a	VISpor6a	VISpor	Geometry	1600.3	1934.2	312782648	0	312782628	0	0	0	NaN	0	16377.6	1111.2
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	d0f1172a-013d-4a64-8056-c65583556a35	Annotation	VISp	VISp	VIS	Geometry	5903.3	739.22	385	0	669	0	0	0	NaN	0	3520986.7	12682.5
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	1b14cd36-8b1c-41a2-a4ad-e0ed7e8daf26	Annotation	VISp5	VISp5	VISp	Geometry	5899.6	937.6	778	0	385	0	0	0	NaN	0	830891.4	9061.7
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	45dbe91c-a2fc-4c0c-8e1c-a4691cd01f73	Annotation	VISp6a	VISp6a	VISp	Geometry	4950.7	1167.3	33	0	385	0	0	0	NaN	0	410872.7	5540.2
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	c13177b6-2ac0-4393-9e86-ffc7321f3f9e	Annotation	VISp2/3	VISp2/3	VISp	Geometry	6043.1	581.94	821	0	385	0	0	0	NaN	0	1082625	11162.1
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	8f6308ed-7599-499a-9fc4-2a8c89fb6cf7	Annotation	VISp1	VISp1	VISp	Geometry	6175.5	451.39	593	0	385	0	0	0	NaN	0	640287.2	11724
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	e6ed4873-53a7-4128-86a9-055e8cc3ed3f	Annotation	VISp4	VISp4	VISp	Geometry	6027.2	764.1	721	0	385	0	0	0	NaN	0	556310.4	9766.4
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	7abd9f2c-3b83-4ab7-9565-99bac2e9d7ba	Annotation	VISl	VISl	VIS	Geometry	4404	1222.6	409	0	669	0	0	0	NaN	0	401208	3843
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	6c65e769-e319-4d6f-9892-cca519b0db64	Annotation	VISl4	VISl4	VISl	Geometry	3300.6	1277.5	573	0	409	0	0	0	NaN	0	58683.4	1667.7
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	68658e7e-2410-4ebe-9aec-c63883f65a38	Annotation	VISl5	VISl5	VISl	Geometry	2011.6	1309.5	613	0	409	0	0	0	NaN	0	37167	905.49
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	f68b516b-ae23-47fc-a281-e870f8971439	Annotation	VISl1	VISl1	VISl	Geometry	5377	1160.4	421	0	409	0	0	0	NaN	0	131544.3	2689.1
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	ad375230-036d-4679-b394-5e64fba33385	Annotation	VISl2/3	VISl2/3	VISl	Geometry	4551.7	1232.5	973	0	409	0	0	0	NaN	0	173812.9	2673
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	613555cd-2257-439b-bb95-f712a5a050e2	Annotation	VISpl	VISpl	VIS	Geometry	6712.5	1630.7	425	0	669	0	0	0	NaN	0	809873.7	7761.8
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	b088ecc3-08c2-41d1-a069-32f75c0a39c2	Annotation	VISpl2/3	VISpl2/3	VISpl	Geometry	10202.5	1574.4	269	0	425	0	0	0	NaN	0	43405.5	935.7
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	f0ccb1a2-319f-4efb-9bd5-52bff10907d6	Annotation	VISpl4	VISpl4	VISpl	Geometry	8550.4	1578.5	869	0	425	0	0	0	NaN	0	46117.2	1534.3
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	2406634f-6b7d-4b7d-bc8d-39f2ed4148bd	Annotation	VISpl6a	VISpl6a	VISpl	Geometry	6043.6	1618.6	377	0	425	0	0	0	NaN	0	388819.6	5903.6
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	da331674-da2c-4023-a342-067d4db71964	Annotation	VISpl5	VISpl5	VISpl	Geometry	6985.3	1665.6	902	0	425	0	0	0	NaN	0	302697.7	3823.9
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	ce87c926-d295-493a-a939-19bee1561d6f	Annotation	VISpl6b	VISpl6b	VISpl	Geometry	2211.4	1634.3	393	0	425	0	0	0	NaN	0	20113.6	1458.7
JKBY4.2b_A3_Scan1.qptiff - resolution #1_Region 4.ome.tif	2928ebaa-5379-465b-82ed-592f59347b90	Annotation	VISpl1	VISpl1	VISpl	Geometry	10359.9	1503.9	750	0	425	0	0	0	NaN	0	8720.4	412.71
