Region,Global slice index,TRAPed_alsoVgat,TRAPed_alsoVglut
dlPAG,Slice 0,0.09,0.94
dlPAG,Slice 1,0.15,0.93
dlPAG,Slice 2,0.42,1.06
dlPAG,Slice 3,0.54,0.99
dlPAG,Slice 4,0.27,0.76
dlPAG,Slice 5,0.32,0.6
dlPAG,Slice 6,0.52,0.66
dlPAG,Slice 7,0.97,0.78
dlPAG,Slice 8,0.73,0.8
dmPAG,Slice 0,0.52,0.66
dmPAG,Slice 1,0.86,0.91
dmPAG,Slice 2,0.31,1.12
dmPAG,Slice 3,0.48,0.9
dmPAG,Slice 4,0.0,0.75
dmPAG,Slice 5,0.38,0.81
dmPAG,Slice 6,0.19,0.97
dmPAG,Slice 7,0.0,0.97
dmPAG,Slice 8,0.74,0.96
lPAG,Slice 0,0.86,0.71
lPAG,Slice 1,0.7,0.85
lPAG,Slice 2,0.82,0.8
lPAG,Slice 3,0.44,0.87
lPAG,Slice 4,0.3,0.75
lPAG,Slice 5,0.34,0.52
lPAG,Slice 6,0.51,0.65
lPAG,Slice 7,0.85,0.72
lPAG,Slice 8,0.74,0.67
vlPAG,Slice 0,0.71,0.6
vlPAG,Slice 1,0.64,0.61
vlPAG,Slice 2,0.6,0.62
vlPAG,Slice 3,0.59,0.58
vlPAG,Slice 4,0.35,0.46
vlPAG,Slice 5,0.31,0.31
vlPAG,Slice 6,0.44,0.28
vlPAG,Slice 7,0.51,0.41
vlPAG,Slice 8,0.56,0.45
